text,aspect,polarity,text_clean,aspect_clean,macro_aspect
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",bagels,food
Nevertheless the food itself is pretty good.,food,positive,nevertheless the food itself is pretty good.,food,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,price
The design and atmosphere is just as good.,design,positive,the design and atmosphere is just as good.,design,overall
The design and atmosphere is just as good.,atmosphere,positive,the design and atmosphere is just as good.,atmosphere,ambiance
The pizza is the best if you like thin crusted pizza.,pizza,positive,the pizza is the best if you like thin crusted pizza.,pizza,food
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,the pizza is the best if you like thin crusted pizza.,thin crusted pizza,food
"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,"all the money went into the interior decoration, none of it went to the chefs.",chefs,service
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,overall
"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,"i asked for seltzer with lime, no ice.",seltzer with lime,food
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,food
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,food
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,my suggestion is to eat family style because you'll want to try the other dishes.,dishes,food
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,my suggestion is to eat family style because you'll want to try the other dishes.,eat family style,food
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,"best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,ambiance
"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,"best of all is the warm vibe, the owner is super friendly and service is fast.",owner,service
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,"best of all is the warm vibe, the owner is super friendly and service is fast.",service,service
Faan's got a great concept but a little rough on the delivery.,delivery,negative,faan's got a great concept but a little rough on the delivery.,delivery,price
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,food
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,ambiance
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,service
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,"great food at reasonable prices, makes for an evening that can't be beat!",food,food
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,"great food at reasonable prices, makes for an evening that can't be beat!",prices,price
this little place has a cute interior decor and affordable city prices.,prices,positive,this little place has a cute interior decor and affordable city prices.,prices,price
Two words: Free wine.,wine,positive,two words: free wine.,wine,food
The price is reasonable although the service is poor.,price,positive,the price is reasonable although the service is poor.,price,price
The price is reasonable although the service is poor.,service,negative,the price is reasonable although the service is poor.,service,service
"The quantity is also very good, you will come out satisfied.",quantity,positive,"the quantity is also very good, you will come out satisfied.",quantity,price
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,food
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,food
The fried rice is amazing here.,fried rice,positive,the fried rice is amazing here.,fried rice,food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,food
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,food
it's a perfect place to have a amanzing indian food.,indian food,positive,it's a perfect place to have a amanzing indian food.,indian food,food
The place is so cool and the service is prompt and curtious.,service,positive,the place is so cool and the service is prompt and curtious.,service,service
The place is so cool and the service is prompt and curtious.,place,positive,the place is so cool and the service is prompt and curtious.,place,ambiance
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,food
I just wonder how you can have such a delicious meal for such little money.,meal,positive,i just wonder how you can have such a delicious meal for such little money.,meal,food
I just wonder how you can have such a delicious meal for such little money.,money,positive,i just wonder how you can have such a delicious meal for such little money.,money,price
The wine list is excellent.,wine list,positive,the wine list is excellent.,wine list,food
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",thai food,food
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,they wouldnt even let me finish my glass of wine before offering another.,glass of wine,food
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,this is a consistently great place to dine for lunch or dinner.,lunch,food
This is a consistently great place to dine for lunch or dinner.,dinner,neutral,this is a consistently great place to dine for lunch or dinner.,dinner,food
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,"nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,ambiance
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,"nice atmosphere, the service was very pleasant and the desert was good.",service,service
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,"nice atmosphere, the service was very pleasant and the desert was good.",desert,food
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,after really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,food
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,after really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,food
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,service
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,food
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,ambiance
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,ambiance
Try the lasagnette appetizer.,lasagnette appetizer,positive,try the lasagnette appetizer.,lasagnette appetizer,food
I liked the beer selection!,beer selection,positive,i liked the beer selection!,beer selection,food
"Great food, good size menu, great service and an unpretensious setting.",food,positive,"great food, good size menu, great service and an unpretensious setting.",food,food
"Great food, good size menu, great service and an unpretensious setting.",menu,positive,"great food, good size menu, great service and an unpretensious setting.",menu,food
"Great food, good size menu, great service and an unpretensious setting.",service,positive,"great food, good size menu, great service and an unpretensious setting.",service,service
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,go here for a romantic dinner but not for an all out wow dining experience.,dinner,food
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,dosa,food
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,wine list selection is good and wine-by-the-glass was generously filled to the top.,wine list selection,food
"With the great variety on the menu , I eat here often and never get bored .",menu,positive,"with the great variety on the menu , i eat here often and never get bored .",menu,food
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,the menu is very limited - i think we counted 4 or 5 entrees.,menu,food
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,the menu is very limited - i think we counted 4 or 5 entrees.,entrees,food
The menu is limited but almost all of the dishes are excellent.,menu,negative,the menu is limited but almost all of the dishes are excellent.,menu,food
The menu is limited but almost all of the dishes are excellent.,dishes,positive,the menu is limited but almost all of the dishes are excellent.,dishes,food
Not too crazy about their sake martini.,sake martini,negative,not too crazy about their sake martini.,sake martini,food
"Great bagels, spreads and a good place to hang out in.",bagels,positive,"great bagels, spreads and a good place to hang out in.",bagels,food
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,food
We always have a delicious meal and always leave feeling satisfied.,meal,positive,we always have a delicious meal and always leave feeling satisfied.,meal,food
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,"dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,food
First went here to enjoy their garden terrace.,garden terrace,positive,first went here to enjoy their garden terrace.,garden terrace,food
The pizza was pretty good and huge.,pizza,positive,the pizza was pretty good and huge.,pizza,food
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,atmosphere,ambiance
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,they are often crowded on the weekends but they are efficient and accurate with their service.,service,service
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,they are often crowded on the weekends but they are efficient and accurate with their service.,crowded,ambiance
All my co-workers were amazed at how small the dish was.,dish,negative,all my co-workers were amazed at how small the dish was.,dish,food
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,"the atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,ambiance
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,"the atmosphere is unheralded, the service impecible, and the food magnificant.",service,service
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,food
"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,"the wait staff is friendly, and the food has gotten better and better!",wait staff,service
"The wait staff is friendly, and the food has gotten better and better!",food,positive,"the wait staff is friendly, and the food has gotten better and better!",food,food
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",vibe,ambiance
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",french food,food
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",packed,ambiance
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,right off the l in brooklyn this is a nice cozy place with good pizza.,pizza,food
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,right off the l in brooklyn this is a nice cozy place with good pizza.,place,ambiance
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,le pere pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,food
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,i also ordered for delivery and the restaurant forgot half the order.,delivery,price
I also ordered for delivery and the restaurant forgot half the order.,order,negative,i also ordered for delivery and the restaurant forgot half the order.,order,price
Our server checked on us maybe twice during the entire meal.,meal,neutral,our server checked on us maybe twice during the entire meal.,meal,food
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,we had the lobster sandwich and it was fantastic.,lobster sandwich,food
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,price
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,price
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,deep fried skewers are good and still rare to find in nyc.,deep fried skewers,food
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,"i have tried to make reservations, but both times, the hostess didn't have my name.",reservations,service
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,"i have tried to make reservations, but both times, the hostess didn't have my name.",hostess,service
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,i also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,food
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,i also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),food
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,their tuna tartar appetizer is to die for.,tuna tartar appetizer,food
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,food
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,food
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,food
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,"if you love wine and cheese and delicious french fare, you'll love artisanal!",wine,food
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,"if you love wine and cheese and delicious french fare, you'll love artisanal!",french fare,price
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,"if you love wine and cheese and delicious french fare, you'll love artisanal!",cheese,food
I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,i love indian food and consider myself to be quite an expert on it.,indian food,food
Some baby pizzas get their wish.,baby pizzas,neutral,some baby pizzas get their wish.,baby pizzas,food
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,the lava cake dessert was incredible and i recommend it.,lava cake dessert,food
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,vt is what baby pizzas hope to be when they grow up.,baby pizzas,food
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,service
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,food
good selection of wines ranging from affordable to high end.,selection of wines,positive,good selection of wines ranging from affordable to high end.,selection of wines,food
Not impressed with the food.,food,negative,not impressed with the food.,food,food
The entire dining experience was wonderful!,dining experience,positive,the entire dining experience was wonderful!,dining experience,overall
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,wine selection,food
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,reservation,service
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,service
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,service
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,service
"Order the panang duck, it's fantastic.",panang duck,positive,"order the panang duck, it's fantastic.",panang duck,food
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",raw vegatables,food
"Other than the crappy service from two individuals, it's great.",service,negative,"other than the crappy service from two individuals, it's great.",service,service
They have authentic Indian at amazin prices.,prices,positive,they have authentic indian at amazin prices.,prices,price
Ambiance- relaxed and stylish.,Ambiance,positive,ambiance- relaxed and stylish.,ambiance,ambiance
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,"luckily we saved room for the bbq salmon, sea bass and crispy duck.",bbq salmon,food
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,"luckily we saved room for the bbq salmon, sea bass and crispy duck.",crispy duck,food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,food
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,and yes dal bukhara is so dam good and so are all the kababs.,kababs,food
I look forward to eating here again,eating,positive,i look forward to eating here again,eating,food
I've been coming here as a child and always come back for the taste.,taste,positive,i've been coming here as a child and always come back for the taste.,taste,food
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,food
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,price
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,food
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",mussels,food
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral,"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,food
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,food
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,food
The food always tastes fresh and served promptly.,food,positive,the food always tastes fresh and served promptly.,food,food
The food always tastes fresh and served promptly.,served,positive,the food always tastes fresh and served promptly.,served,service
The pizza here is delicious.,pizza,positive,the pizza here is delicious.,pizza,food
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,positive,"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",pizza,food
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive,"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",delivery,price
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,positive,"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",garlic knots,food
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive,"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.",chinese food,food
But who says Murray's is anything about service.,service,neutral,but who says murray's is anything about service.,service,service
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,"this place is really trendi but they have forgotten about the most important part of a restaurant, the food.",food,food
Hats off to the chef.,chef,positive,hats off to the chef.,chef,food
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,negative,"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,service
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,food
