text,aspect,polarity,text_clean,aspect_clean
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check
The design and atmosphere is just as good.,design,positive,the design and atmosphere is just as good.,design
The design and atmosphere is just as good.,atmosphere,positive,the design and atmosphere is just as good.,atmosphere
He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,he has visited thailand and is quite expert on the cuisine.,cuisine
The pizza is the best if you like thin crusted pizza.,pizza,positive,the pizza is the best if you like thin crusted pizza.,pizza
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,the pizza is the best if you like thin crusted pizza.,thin crusted pizza
"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,"all the money went into the interior decoration, none of it went to the chefs.",interior decoration
"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,"all the money went into the interior decoration, none of it went to the chefs.",chefs
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats
"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,"i asked for seltzer with lime, no ice.",seltzer with lime
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,my suggestion is to eat family style because you'll want to try the other dishes.,dishes
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,my suggestion is to eat family style because you'll want to try the other dishes.,eat family style
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,"best of all is the warm vibe, the owner is super friendly and service is fast.",vibe
"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,"best of all is the warm vibe, the owner is super friendly and service is fast.",owner
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,"best of all is the warm vibe, the owner is super friendly and service is fast.",service
Faan's got a great concept but a little rough on the delivery.,delivery,negative,faan's got a great concept but a little rough on the delivery.,delivery
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,"great food at reasonable prices, makes for an evening that can't be beat!",food
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,"great food at reasonable prices, makes for an evening that can't be beat!",prices
this little place has a cute interior decor and affordable city prices.,interior deco,positive,this little place has a cute interior decor and affordable city prices.,interior deco
this little place has a cute interior decor and affordable city prices.,prices,positive,this little place has a cute interior decor and affordable city prices.,prices
Two words: Free wine.,wine,positive,two words: free wine.,wine
The price is reasonable although the service is poor.,price,positive,the price is reasonable although the service is poor.,price
The price is reasonable although the service is poor.,service,negative,the price is reasonable although the service is poor.,service
"The quantity is also very good, you will come out satisfied.",quantity,positive,"the quantity is also very good, you will come out satisfied.",quantity
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar
The fried rice is amazing here.,fried rice,positive,the fried rice is amazing here.,fried rice
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses
it's a perfect place to have a amanzing indian food.,indian food,positive,it's a perfect place to have a amanzing indian food.,indian food
The place is so cool and the service is prompt and curtious.,service,positive,the place is so cool and the service is prompt and curtious.,service
The place is so cool and the service is prompt and curtious.,place,positive,the place is so cool and the service is prompt and curtious.,place
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles
I just wonder how you can have such a delicious meal for such little money.,meal,positive,i just wonder how you can have such a delicious meal for such little money.,meal
I just wonder how you can have such a delicious meal for such little money.,money,positive,i just wonder how you can have such a delicious meal for such little money.,money
The wine list is excellent.,wine list,positive,the wine list is excellent.,wine list
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",thai food
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,they wouldnt even let me finish my glass of wine before offering another.,glass of wine
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,"whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,this is a consistently great place to dine for lunch or dinner.,lunch
This is a consistently great place to dine for lunch or dinner.,dinner,neutral,this is a consistently great place to dine for lunch or dinner.,dinner
This is a consistently great place to dine for lunch or dinner.,dine,positive,this is a consistently great place to dine for lunch or dinner.,dine
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,"nice atmosphere, the service was very pleasant and the desert was good.",atmosphere
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,"nice atmosphere, the service was very pleasant and the desert was good.",service
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,"nice atmosphere, the service was very pleasant and the desert was good.",desert
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,after really enjoying ourselves at the bar we sat down at a table and had dinner.,bar
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,after really enjoying ourselves at the bar we sat down at a table and had dinner.,table
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,after really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,"fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment
Try the lasagnette appetizer.,lasagnette appetizer,positive,try the lasagnette appetizer.,lasagnette appetizer
I liked the beer selection!,beer selection,positive,i liked the beer selection!,beer selection
"Great food, good size menu, great service and an unpretensious setting.",food,positive,"great food, good size menu, great service and an unpretensious setting.",food
"Great food, good size menu, great service and an unpretensious setting.",menu,positive,"great food, good size menu, great service and an unpretensious setting.",menu
"Great food, good size menu, great service and an unpretensious setting.",service,positive,"great food, good size menu, great service and an unpretensious setting.",service
"Great food, good size menu, great service and an unpretensious setting.",setting,positive,"great food, good size menu, great service and an unpretensious setting.",setting
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,go here for a romantic dinner but not for an all out wow dining experience.,dinner
Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,go here for a romantic dinner but not for an all out wow dining experience.,dining
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,dosa
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,wine list selection is good and wine-by-the-glass was generously filled to the top.,wine list selection
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass
"With the great variety on the menu , I eat here often and never get bored .",menu,positive,"with the great variety on the menu , i eat here often and never get bored .",menu
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,the menu is very limited - i think we counted 4 or 5 entrees.,menu
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,the menu is very limited - i think we counted 4 or 5 entrees.,entrees
The menu is limited but almost all of the dishes are excellent.,menu,negative,the menu is limited but almost all of the dishes are excellent.,menu
The menu is limited but almost all of the dishes are excellent.,dishes,positive,the menu is limited but almost all of the dishes are excellent.,dishes
Not too crazy about their sake martini.,sake martini,negative,not too crazy about their sake martini.,sake martini
"Great bagels, spreads and a good place to hang out in.",bagels,positive,"great bagels, spreads and a good place to hang out in.",bagels
"Great bagels, spreads and a good place to hang out in.",spreads,positive,"great bagels, spreads and a good place to hang out in.",spreads
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,table
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food
We always have a delicious meal and always leave feeling satisfied.,meal,positive,we always have a delicious meal and always leave feeling satisfied.,meal
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,"dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,"dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks
First went here to enjoy their garden terrace.,garden terrace,positive,first went here to enjoy their garden terrace.,garden terrace
The pizza was pretty good and huge.,pizza,positive,the pizza was pretty good and huge.,pizza
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.",cuisine
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,atmosphere
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,they are often crowded on the weekends but they are efficient and accurate with their service.,service
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,they are often crowded on the weekends but they are efficient and accurate with their service.,crowded
All my co-workers were amazed at how small the dish was.,dish,negative,all my co-workers were amazed at how small the dish was.,dish
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,"the atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,"the atmosphere is unheralded, the service impecible, and the food magnificant.",service
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,"the atmosphere is unheralded, the service impecible, and the food magnificant.",food
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino
"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,"the wait staff is friendly, and the food has gotten better and better!",wait staff
"The wait staff is friendly, and the food has gotten better and better!",food,positive,"the wait staff is friendly, and the food has gotten better and better!",food
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",vibe
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",french food
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",packed
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,right off the l in brooklyn this is a nice cozy place with good pizza.,pizza
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,right off the l in brooklyn this is a nice cozy place with good pizza.,place
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,le pere pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,i also ordered for delivery and the restaurant forgot half the order.,delivery
I also ordered for delivery and the restaurant forgot half the order.,order,negative,i also ordered for delivery and the restaurant forgot half the order.,order
Our server checked on us maybe twice during the entire meal.,server,negative,our server checked on us maybe twice during the entire meal.,server
Our server checked on us maybe twice during the entire meal.,meal,neutral,our server checked on us maybe twice during the entire meal.,meal
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,the strong scents coming from the left and right of me negatively affected my taste buds.,scents
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,we had the lobster sandwich and it was fantastic.,lobster sandwich
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,deep fried skewers are good and still rare to find in nyc.,deep fried skewers
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,"i have tried to make reservations, but both times, the hostess didn't have my name.",reservations
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,"i have tried to make reservations, but both times, the hostess didn't have my name.",hostess
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,i also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,i also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge)
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,their tuna tartar appetizer is to die for.,tuna tartar appetizer
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,"an oasis of refinement: food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,"if you love wine and cheese and delicious french fare, you'll love artisanal!",wine
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,"if you love wine and cheese and delicious french fare, you'll love artisanal!",french fare
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,"if you love wine and cheese and delicious french fare, you'll love artisanal!",cheese
I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,i love indian food and consider myself to be quite an expert on it.,indian food
Some baby pizzas get their wish.,baby pizzas,neutral,some baby pizzas get their wish.,baby pizzas
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,overall a oh ya even though there is waiting it is deff worth it,waiting
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,the lava cake dessert was incredible and i recommend it.,lava cake dessert
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,vt is what baby pizzas hope to be when they grow up.,baby pizzas
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,the last time i went we were seated at a table in a corridor next to the kitchen.,table
good selection of wines ranging from affordable to high end.,selection of wines,positive,good selection of wines ranging from affordable to high end.,selection of wines
"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,"nice restaurant overall, with classic upscale italian decor.",italian decor
Not impressed with the food.,food,negative,not impressed with the food.,food
The entire dining experience was wonderful!,dining experience,positive,the entire dining experience was wonderful!,dining experience
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,wine selection
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,reservation
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation
"Order the panang duck, it's fantastic.",panang duck,positive,"order the panang duck, it's fantastic.",panang duck
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",raw vegatables
"Other than the crappy service from two individuals, it's great.",service,negative,"other than the crappy service from two individuals, it's great.",service
They have authentic Indian at amazin prices.,Indian,positive,they have authentic indian at amazin prices.,indian
They have authentic Indian at amazin prices.,prices,positive,they have authentic indian at amazin prices.,prices
Ambiance- relaxed and stylish.,Ambiance,positive,ambiance- relaxed and stylish.,ambiance
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,"luckily we saved room for the bbq salmon, sea bass and crispy duck.",bbq salmon
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,positive,"luckily we saved room for the bbq salmon, sea bass and crispy duck.",sea bass
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,"luckily we saved room for the bbq salmon, sea bass and crispy duck.",crispy duck
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust
